PERIODO;CD_MUNICIPIO;NM_MUNICIPIO;CD_UF;SG_UF;CD_RM;NM_RM;SEXO;FAIXA_ETARIA;BENEF_ASSISTENCIA_MEDICA;BENEF_EXCLUS_ODONTOLOGICO;BENEF_TOTAL;POPULACAO;TX_COBERT_ASSISTENCIA_MEDICA;TX_COBERT_EXCLUSIVAMENTE_ODONTOLOGICO;TX_COBERT_TOTAL
"2026";"410010";"Abatiá";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"4";"6";"10";"0";0,0000;0,0000;0,0000
"2026";"410040";"Almirante Tamandaré";"41";"PR";"41010";"Curitiba - Pr";"FEMININO";"Até 1 ano";"190";"72";"262";"0";0,0000;0,0000;0,0000
"2026";"410070";"Alto Piquiri";"41";"PR";"41040";"Umuarama - Pr";"FEMININO";"Até 1 ano";"4";"0";"4";"0";0,0000;0,0000;0,0000
"2026";"410080";"Alvorada Do Sul";"41";"PR";"41020";"Londrina - Pr";"FEMININO";"Até 1 ano";"8";"2";"10";"0";0,0000;0,0000;0,0000
"2026";"410110";"Andirá";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"9";"1";"10";"0";0,0000;0,0000;0,0000
"2026";"410180";"Araucária";"41";"PR";"41010";"Curitiba - Pr";"FEMININO";"Até 1 ano";"359";"123";"482";"0";0,0000;0,0000;0,0000
"2026";"410220";"Atalaia";"41";"PR";"41030";"Maringá - Pr";"FEMININO";"Até 1 ano";"8";"1";"9";"0";0,0000;0,0000;0,0000
"2026";"410280";"Bela Vista Do Paraíso";"41";"PR";"41020";"Londrina - Pr";"FEMININO";"Até 1 ano";"19";"2";"21";"0";0,0000;0,0000;0,0000
"2026";"410304";"Boa Ventura De São Roque";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"2";"0";"2";"0";0,0000;0,0000;0,0000
"2026";"410335";"Braganey";"41";"PR";"41070";"Cascavel - Pr";"FEMININO";"Até 1 ano";"11";"0";"11";"0";0,0000;0,0000;0,0000
"2026";"410405";"Campo Bonito";"41";"PR";"41070";"Cascavel - Pr";"FEMININO";"Até 1 ano";"2";"0";"2";"0";0,0000;0,0000;0,0000
"2026";"410680";"Cruz Machado";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"1";"0";"1";"0";0,0000;0,0000;0,0000
"2026";"410730";"Doutor Camargo";"41";"PR";"41030";"Maringá - Pr";"FEMININO";"Até 1 ano";"15";"2";"17";"0";0,0000;0,0000;0,0000
"2026";"410773";"Fernandes Pinheiro";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"2";"1";"3";"0";0,0000;0,0000;0,0000
"2026";"410980";"Ibiporã";"41";"PR";"41020";"Londrina - Pr";"FEMININO";"Até 1 ano";"116";"9";"125";"0";0,0000;0,0000;0,0000
"2026";"411180";"Jacarezinho";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"40";"5";"45";"0";0,0000;0,0000;0,0000
"2026";"411290";"Jundiaí Do Sul";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"1";"0";"1";"0";0,0000;0,0000;0,0000
"2026";"411325";"Laranjal";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"0";"0";"0";"0";0,0000;0,0000;0,0000
"2026";"411350";"Loanda";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"8";"0";"8";"0";0,0000;0,0000;0,0000
"2026";"411380";"Lupionópolis";"41";"PR";"41020";"Londrina - Pr";"FEMININO";"Até 1 ano";"3";"1";"4";"0";0,0000;0,0000;0,0000
"2026";"411400";"Mamborê";"41";"PR";"41060";"Campo Mourão - Pr";"FEMININO";"Até 1 ano";"14";"0";"14";"0";0,0000;0,0000;0,0000
"2026";"411435";"Manfrinópolis";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"0";"0";"0";"0";0,0000;0,0000;0,0000
"2026";"411530";"Mariópolis";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"6";"0";"6";"0";0,0000;0,0000;0,0000
"2026";"411730";"Ortigueira";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"11";"1";"12";"0";0,0000;0,0000;0,0000
"2026";"411880";"Peabiru";"41";"PR";"41060";"Campo Mourão - Pr";"FEMININO";"Até 1 ano";"13";"0";"13";"0";0,0000;0,0000;0,0000
"2026";"411900";"Pérola D'Oeste";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"0";"0";"0";"0";0,0000;0,0000;0,0000
"2026";"411910";"Piên";"41";"PR";"41010";"Curitiba - Pr";"FEMININO";"Até 1 ano";"13";"0";"13";"0";0,0000;0,0000;0,0000
"2026";"412110";"Quinta Do Sol";"41";"PR";"41060";"Campo Mourão - Pr";"FEMININO";"Até 1 ano";"5";"0";"5";"0";0,0000;0,0000;0,0000
"2026";"412175";"Reserva Do Iguaçu";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"1";"0";"1";"0";0,0000;0,0000;0,0000
"2026";"412350";"Santa Helena";"41";"PR";"41080";"Toledo - Pr";"FEMININO";"Até 1 ano";"41";"15";"56";"0";0,0000;0,0000;0,0000
"2026";"412410";"Santo Antônio Da Platina";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"51";"0";"51";"0";0,0000;0,0000;0,0000
"2026";"412460";"São Carlos Do Ivaí";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"10";"4";"14";"0";0,0000;0,0000;0,0000
"2026";"412560";"São Mateus Do Sul";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"32";"7";"39";"0";0,0000;0,0000;0,0000
"2026";"412665";"Sulina";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"2";"0";"2";"0";0,0000;0,0000;0,0000
"2026";"412780";"Tomazina";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"6";"0";"6";"0";0,0000;0,0000;0,0000
"2026";"412785";"Três Barras Do Paraná";"41";"PR";"41070";"Cascavel - Pr";"FEMININO";"Até 1 ano";"9";"0";"9";"0";0,0000;0,0000;0,0000
"2026";"412850";"Wenceslau Braz";"41";"PR";"00000";"Fora Da Região Metropolitana";"FEMININO";"Até 1 ano";"12";"2";"14";"0";0,0000;0,0000;0,0000
