codigo_cnes,numero_cnpj_entidade,nome_razao_social,nome_fantasia,natureza_organizacao_entidade,tipo_gestao,descricao_nivel_hierarquia,descricao_esfera_administrativa,codigo_tipo_unidade,codigo_cep_estabelecimento,endereco_estabelecimento,numero_estabelecimento,bairro_estabelecimento,numero_telefone_estabelecimento,latitude_estabelecimento_decimo_grau,longitude_estabelecimento_decimo_grau,endereco_email_estabelecimento,numero_cnpj,codigo_identificador_turno_atendimento,descricao_turno_atendimento,estabelecimento_faz_atendimento_ambulatorial_sus,codigo_estabelecimento_saude,codigo_uf,codigo_municipio,descricao_natureza_juridica_estabelecimento,codigo_motivo_desabilitacao_estabelecimento,estabelecimento_possui_centro_cirurgico,estabelecimento_possui_centro_obstetrico,estabelecimento_possui_centro_neonatal,estabelecimento_possui_atendimento_hospitalar,estabelecimento_possui_servico_apoio,estabelecimento_possui_atendimento_ambulatorial,codigo_atividade_ensino_unidade,codigo_natureza_organizacao_unidade,codigo_nivel_hierarquia_unidade,codigo_esfera_administrativa_unidade,data_atualizacao
9630252,,RENATO DA SILVA FREITAS,RENATO DA SILVA FREITAS,,M,,MUNICIPAL,22,80730000,RUA PADRE ANCHIETA,2194,CHAMPANHAT,,-25.43318590755181,-49.30032189999997,dr.renato.freitas@gmail.com,,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4106909630252,41,410690,4000,04,0,0,0,0,1,0,04,,,M ,2025-09-03
9630295,,RECHI ODONTOLOGIA LTDA,RECHI ODONTOLOGIA,,M,,MUNICIPAL,22,86800605,CURITIBA,524,BARRA FUNDA,43 31220264,-23.55,-51.4667,RPR234@HOTMAIL.COM,29436142000188,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4101409630295,41,410140,2062,,0,0,0,0,0,0,04,,,M ,2025-09-03
9630368,76282656000106,MUNICIPIO DE MARINGA,UNIDADE DE APOIO A SAUDE DA FAMILIA JARDIM PAULISTA,,M,,MUNICIPAL,2,87047550,RUA JOSE GRANADO PARRA,485,JARDIM PAULISTA,443901-1105,-23.404327985715042,-51.873546838760376,uasf_paulista@maringa.pr.gov.br,,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SIM,4115209630368,41,411520,1244,,0,0,0,0,1,0,04,,,M ,2025-09-03
9630473,,CLINICA MEDICA FAST E MESQUITA LTDA,CLINICA MEDICA FAST E MESQUITA,,M,,MUNICIPAL,22,85555000,AUGUSTO GUIMARAES,1073,CENTRO,,-26.482304,-51.992392,,31518498000102,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4117609630473,41,411760,2062,,0,0,0,0,0,0,04,,,M ,2025-09-03
4850459,,ASSOC DE PAIS E AMIGOS DOS EXCEP DE BOA VENTURA DE S RO,APAE DE BOA VENTURA DE SAO ROQUE,,E,,ESTADUAL,16,85225000,MACIEL,S/N,CENTRO,,-24.882309801314644,-51.54167175292969,,01863050000165,05,ATENDIMENTO COM TURNOS INTERMITENTES,SIM,4103044850459,41,410304,3999,,0,0,0,0,1,0,04,,,E ,2025-12-09
428310,,J DAVANCO ALVARENGA MOREIRA CLINICA ODONTOLOGICA,CLINICA INNOVARE,,M,,MUNICIPAL,22,86690000,ALAGOAS,490,CENTRO,44 33232613,-22.8394662,-51.979120717,elitecontabilidade_escritorio@hotmail.com,29434793000139,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4105900428310,41,410590,2135,,0,0,0,0,1,0,04,,,M ,2025-09-03
9631321,,GIOVANNA MURA MEDICINA E SAUDE LTDA,ENDOCLIN,,M,,MUNICIPAL,22,87501220,FLORIDA,3743,ZONA I,44 36232003,-23.763037397842478,-53.3076810836792,,29181652000151,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4128109631321,41,412810,2062,,0,0,0,0,0,0,04,,,M ,2025-09-03
9631909,,M A CANO DA SILVA CLINICA MEDICA ME,PSICOMEDIC,,M,,MUNICIPAL,22,85801050,RUA MARANHAO,790,CENTRO,,-24.961437,-53.457386,,17847876000170,01,ATENDIMENTO SOMENTE PELA MANHA,NAO,4104809631909,41,410480,2135,04,0,0,0,0,0,0,04,,,M ,2025-09-03
9631968,,L T SERVICOS MEDICOS LTDA,L T SERVICOS MEDICOS LTDA,,M,,MUNICIPAL,22,87910000,AV GUSTAVO BRIGAGAO,1914,CENTRO,44 34531106,-22.998930602357287,-53.19646596908569,,30596643000100,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4123709631968,41,412370,2062,,0,0,0,0,0,0,04,,,M ,2025-09-03
9632085,,D M DIGITALIZACAO LTDA,CONSULTORIO DR DANIEL RODRIGO MALUF,,M,,MUNICIPAL,22,84015460,BONIFACIO VILELA,1489,JARDIM CARVALHO,42 30256410,-25.078385757969617,-50.159103472701865,pontacont@yahoo.com.br,07375647000147,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4119909632085,41,411990,2062,,0,0,0,0,1,0,04,,,M ,2025-09-03
