COMP;CO_IBGE;CNES;CO_TIPO_UNIDADE;MOTIVO_DESABILITACAO;LEITOS_EXISTENTES;LEITOS_SUS;UTI_TOTAL_EXIST;UTI_TOTAL_SUS
202601;410020;0013102;15;;3;3;0;0
202601;410045;2733528;05;;19;19;0;0
202601;410050;2781700;05;;39;39;0;0
202601;410060;2753995;05;;20;19;0;0
202601;410080;2729393;05;;16;16;0;0
202601;410090;2753820;05;;14;14;0;0
202601;410100;5621674;05;;35;34;0;0
202601;410110;2582554;05;;62;57;0;0
202601;410120;2680971;05;;32;32;0;0
202601;410130;2537044;15;;2;2;0;0
202601;410140;2439263;05;;125;69;12;12
202601;410140;2439360;05;;186;152;30;28
202601;410140;4820150;05;;50;50;0;0
202601;410150;2576198;05;;106;81;16;5
202601;410150;2576341;05;;423;371;104;75
202601;410150;5911354;05;;55;49;0;0
202601;410160;2687011;05;;44;44;0;0
202601;410170;0109258;05;;23;23;0;0
202601;410180;5995280;05;;83;83;18;18
202601;410190;2577283;05;;38;38;0;0
202601;410190;2582538;05;;11;0;0;0
202601;410200;4051165;05;;62;61;10;10
202601;410200;4051181;05;;27;19;0;0
202601;410210;2733579;05;;102;94;0;0
202601;410240;2577410;05;;92;81;12;10
202601;410240;2577429;05;;37;0;0;0
202601;410250;3587010;05;;1;1;0;0
202601;410280;2729547;05;;17;17;0;0
202601;410290;2549263;05;;43;43;0;0
202601;410305;6326269;05;;16;16;0;0
202601;410310;2681498;05;;9;9;0;0
202601;410320;2571714;05;;29;29;0;0
202601;410330;2573423;05;;27;27;0;0
202601;410345;4068106;05;;33;33;0;0
202601;410360;3134563;05;;24;24;0;0
202601;410360;4051513;05;;61;55;0;0
202601;410370;2729539;05;;37;10;0;0
202601;410370;2730650;05;;101;84;10;10
202601;410390;2733285;05;;36;28;0;0
202601;410400;0013633;05;;582;466;163;86
202601;410420;0013838;05;;172;145;46;28
202601;410420;0013846;05;;890;838;386;365
202601;410420;0014001;07;;48;48;0;0
202601;410420;5603145;05;;158;141;80;75
202601;410420;6426204;05;;120;120;40;40
202601;410430;0014109;05;;156;143;32;28
202601;410430;0014125;05;;105;71;20;10
202601;410430;9578986;05;;28;0;0;0
202601;410440;2587785;05;;31;31;0;0
202601;410442;2742020;05;;41;39;0;0
202601;410450;2586061;05;;39;29;0;0
202601;410460;2571811;05;;35;33;0;0
202601;410470;2877112;05;;50;50;0;0
202601;410480;2737078;15;;1;1;0;0
202601;410480;2737434;07;;137;114;6;5
202601;410480;2738090;07;;3;2;0;0
202601;410480;2738309;05;;217;114;40;17
202601;410480;2738368;05;;374;368;61;55
202601;410480;2738384;07;;5;2;0;0
202601;410480;2738899;05;;133;0;29;0
202601;410480;2740338;07;;137;91;10;8
202601;410480;3014509;05;;60;0;6;0
202601;410480;3165019;05;;29;0;0;0
202601;410480;3196488;07;;15;0;0;0
202601;410480;3196712;07;;5;0;0;0
202601;410480;3677214;07;;10;0;0;0
202601;410480;3751678;15;;1;1;0;0
202601;410480;7611986;07;;5;0;0;0
202601;410480;7807252;05;;6;0;0;0
202601;410480;9232966;07;;5;5;0;0
202601;410480;9543767;05;;60;60;10;10
202601;410490;2683210;05;;156;119;10;9
202601;410510;2729466;05;;25;25;0;0
202601;410520;2767678;05;;17;17;0;0
202601;410530;2572192;05;;46;33;0;0
202601;410540;7039344;05;;87;80;10;10
202601;410550;2733676;05;;70;48;10;8
202601;410550;2735989;05;;101;82;10;8
202601;410560;2733188;05;;23;23;0;0
202601;410570;2738120;05;;54;47;0;0
202601;410580;0907367;05;;1;0;0;0
202601;410580;2753332;07;;40;37;0;0
202601;410580;4419782;07;;2;2;0;0
202601;410590;2733307;05;;121;95;20;15
202601;410600;2582430;15;;1;1;0;0
202601;410610;2781727;05;;20;20;0;0
202601;410620;0015180;05;;16;16;0;0
202601;410630;2738279;05;;34;33;0;0
202601;410640;2577380;05;;64;60;10;10
202601;410640;2582449;05;;146;104;23;14
202601;410640;4369831;05;;82;44;20;0
202601;410640;6355099;05;;36;0;5;0
202601;410650;2595125;05;;51;51;0;0
202601;410660;2737531;05;;32;32;0;0
202601;410670;2753812;05;;11;11;0;0
202601;410680;2549328;05;;37;37;0;0
202601;410690;0015245;05;;493;440;93;82
202601;410690;0015318;05;;264;11;61;3
202601;410690;0015334;05;;488;367;78;48
202601;410690;0015369;05;;334;324;70;60
202601;410690;0015407;05;;206;206;29;29
202601;410690;0015415;05;;42;42;0;0
202601;410690;0015423;05;;162;60;28;14
202601;410690;0015563;07;;361;230;68;46
202601;410690;0015601;05;;50;50;0;0
202601;410690;0015636;07;;31;31;0;0
202601;410690;0015644;07;;250;180;31;24
202601;410690;0015660;05;;4;0;0;0
202601;410690;0015717;07;;64;0;10;0
202601;410690;0015806;07;;125;0;0;0
202601;410690;0015962;05;;58;0;8;0
202601;410690;0016209;07;;11;4;0;0
202601;410690;0016365;07;;335;110;0;0
202601;410690;0016462;05;;41;41;0;0
202601;410690;2384272;07;;40;19;0;0
