 Morbidade Hospitalar do SUS - por local de residência - Paraná
Internações por Município e Capítulo CID-10
Período:Dez/2015, Nov/2015, Out/2015, Set/2015, Ago/2015, Jul/2015, Jun/2015, Mai/2015, Abr/2015, Mar/2015, Fev/2015, Jan/2015
"Município";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 20";"Cap 21";"Total"
"410010 ABATIA";143;27;13;27;13;23;3;-;98;132;81;5;7;81;69;10;2;2;48;-;4;788
"410020 ADRIANOPOLIS";4;15;1;3;12;5;8;1;38;9;24;6;11;18;87;10;5;9;46;-;2;314
"410030 AGUDOS DO SUL";15;37;6;8;15;22;3;1;107;68;62;27;24;17;129;26;3;8;90;1;7;676
"410040 ALMIRANTE TAMANDARE";235;512;51;140;171;189;56;17;665;510;645;160;148;393;1975;215;64;99;851;-;236;7332
"410045 ALTAMIRA DO PARANA";52;21;7;38;14;13;-;1;80;55;48;3;5;48;69;3;3;6;47;-;2;515
"410050 ALTONIA";97;178;37;22;64;33;5;1;137;179;137;6;35;109;301;12;8;27;161;-;21;1570
"410060 ALTO PARANA";113;63;6;29;68;10;9;1;308;569;117;13;15;81;175;18;8;13;76;-;52;1744
"410070 ALTO PIQUIRI";25;115;6;3;43;22;2;-;54;37;73;12;12;47;105;9;7;16;66;-;14;668
"410080 ALVORADA DO SUL";16;63;4;6;14;4;11;-;72;36;65;10;9;21;69;8;2;3;64;-;9;486
"410090 AMAPORA";7;19;1;13;10;5;-;2;59;51;61;3;8;37;40;4;4;11;26;-;23;384
"410100 AMPERE";166;226;32;76;18;18;1;-;181;325;184;9;33;63;238;17;11;27;111;-;5;1741
"410105 ANAHY";9;40;-;3;10;-;2;-;33;35;25;1;6;15;24;2;1;4;22;-;3;235
"410110 ANDIRA";122;115;12;76;13;22;8;-;245;273;246;13;49;195;221;16;11;17;102;-;7;1763
"410115 ANGULO";11;29;-;1;4;3;-;-;30;25;14;2;10;13;41;7;-;2;37;-;6;235
"410120 ANTONINA";36;63;12;19;21;14;7;1;160;136;117;40;22;97;251;14;11;25;93;-;10;1149
"410130 ANTONIO OLINTO";19;44;5;13;10;22;1;1;98;65;63;9;23;24;81;9;2;9;69;-;2;569
"410140 APUCARANA";272;466;43;130;283;190;31;21;1411;782;684;97;238;444;1510;237;45;87;831;-;399;8201
"410150 ARAPONGAS";264;489;109;190;197;97;23;8;1418;777;870;174;157;302;1428;97;36;110;1044;-;142;7932
"410160 ARAPOTI";75;113;39;22;11;33;14;1;167;167;174;50;38;125;254;27;17;9;173;1;10;1520
"410165 ARAPUA";10;29;6;9;6;15;2;-;38;55;30;1;9;17;37;7;1;1;37;-;3;313
"410170 ARARUNA";65;131;13;58;21;3;12;1;278;171;107;13;18;134;142;14;2;9;99;-;5;1296
"410180 ARAUCARIA";253;678;86;185;148;155;98;18;930;791;1090;256;204;549;2071;253;74;136;990;-;89;9054
"410185 ARIRANHA DO IVAI";17;9;2;9;6;7;1;-;32;67;33;-;6;8;37;3;3;2;24;-;2;268
"410190 ASSAI";234;111;9;47;15;37;9;1;188;334;195;28;72;165;155;17;5;8;174;-;17;1821
"410200 ASSIS CHATEAUBRIAND";341;255;34;108;41;37;11;-;540;447;290;40;40;286;77;20;20;12;182;1;19;2801
"410210 ASTORGA";178;196;20;60;40;22;5;1;394;338;251;33;49;146;285;28;10;20;198;1;27;2302
"410220 ATALAIA";20;17;4;14;10;5;-;-;48;47;43;1;6;26;24;6;1;1;15;-;2;290
"410230 BALSA NOVA";31;88;15;10;17;56;10;2;222;65;124;66;32;49;192;28;9;5;135;-;19;1175
"410240 BANDEIRANTES";265;166;45;70;57;25;7;1;531;767;174;17;54;231;297;23;13;30;148;1;25;2947
"410250 BARBOSA FERRAZ";205;76;10;26;44;10;8;1;185;214;79;5;21;72;109;8;-;7;91;1;2;1174
"410260 BARRACAO";48;172;16;28;12;17;2;-;68;73;91;8;15;54;130;6;4;14;73;2;7;840
"410270 BARRA DO JACARE";16;4;-;9;-;6;2;-;37;39;37;3;5;18;25;2;1;1;10;-;1;216
"410275 BELA VISTA DA CAROBA";32;59;6;7;2;-;-;1;99;81;25;1;8;9;37;2;5;9;20;1;2;406
"410280 BELA VISTA DO PARAISO";93;100;17;14;26;15;5;-;100;147;104;25;20;87;197;29;9;10;98;1;13;1110
"410290 BITURUNA";31;62;17;23;34;18;8;2;175;188;131;8;26;139;245;13;9;8;84;-;22;1243
"410300 BOA ESPERANCA";15;43;2;10;4;19;2;-;78;51;37;13;8;27;33;2;1;3;33;-;5;386
"410302 BOA ESPERANCA DO IGUACU";7;39;5;4;-;1;-;-;33;68;36;2;3;13;40;1;1;1;18;-;1;273
"410304 BOA VENTURA DE SAO ROQUE";34;28;6;23;22;23;-;3;59;89;39;2;9;41;59;11;1;7;40;8;3;507
