 Morbidade Hospitalar do SUS - por local de residência - Paraná
Internações por Município e Capítulo CID-10
Período:Dez/2024, Nov/2024, Out/2024, Set/2024, Ago/2024, Jul/2024, Jun/2024, Mai/2024, Abr/2024, Mar/2024, Fev/2024, Jan/2024
"Município";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 21";"Total"
"410010 ABATIA";67;72;2;7;9;16;3;-;107;80;102;22;30;54;55;8;4;8;78;9;733
"410020 ADRIANOPOLIS";15;47;4;1;8;20;10;3;91;35;83;12;12;36;74;13;8;13;73;20;578
"410030 AGUDOS DO SUL";44;67;7;17;23;34;13;2;157;116;127;20;29;61;82;24;4;23;88;30;968
"410040 ALMIRANTE TAMANDARE";281;830;97;86;197;221;116;25;941;926;1010;174;261;532;1813;210;82;230;1203;250;9485
"410045 ALTAMIRA DO PARANA";14;54;-;1;7;3;1;-;44;17;24;4;6;7;34;10;2;5;35;4;272
"410050 ALTONIA";42;154;51;17;24;31;8;3;175;179;221;17;52;162;189;20;7;51;214;63;1680
"410060 ALTO PARANA";151;96;11;33;34;22;8;-;257;495;157;21;34;88;86;12;13;31;156;35;1740
"410070 ALTO PIQUIRI";85;82;6;18;14;27;5;-;107;72;135;15;43;91;100;19;4;21;84;16;944
"410080 ALVORADA DO SUL";76;89;3;6;14;20;12;1;110;98;126;22;31;79;67;14;11;11;83;26;899
"410090 AMAPORA";34;74;-;12;15;6;6;2;106;77;52;15;17;43;39;2;3;45;55;19;622
"410100 AMPERE";358;350;6;22;37;33;21;2;231;469;283;43;97;145;294;32;6;66;201;13;2709
"410105 ANAHY";74;56;4;2;7;8;2;3;68;78;63;2;11;15;39;11;3;15;53;25;539
"410110 ANDIRA";157;121;19;83;30;28;12;3;297;195;264;32;103;193;164;20;7;27;220;63;2038
"410115 ANGULO";53;34;6;8;22;1;7;-;38;43;39;5;9;43;26;4;1;4;56;10;409
"410120 ANTONINA";94;116;35;31;35;32;23;4;218;190;209;51;29;134;147;31;14;29;165;41;1628
"410130 ANTONIO OLINTO";28;52;5;8;5;30;10;3;99;118;98;18;15;33;66;9;4;22;88;11;722
"410140 APUCARANA";1231;766;58;266;235;317;81;40;1518;1173;1167;203;330;782;1211;249;42;172;931;197;10969
"410150 ARAPONGAS";737;1076;114;316;174;227;81;19;1530;1180;898;198;148;983;1198;167;52;171;1403;257;10929
"410160 ARAPOTI";335;131;28;30;44;54;28;6;371;271;339;70;152;272;319;28;24;78;253;56;2889
"410165 ARAPUA";64;18;13;16;5;19;12;1;79;73;78;8;20;59;37;8;1;5;57;16;589
"410170 ARARUNA";160;94;8;17;21;27;7;1;166;154;153;23;31;94;129;19;5;49;171;40;1369
"410180 ARAUCARIA";480;1013;130;147;163;290;94;31;1561;1416;1822;262;327;993;1758;359;91;250;1348;389;12924
"410185 ARIRANHA DO IVAI";56;22;4;19;9;6;1;1;60;47;34;3;10;47;40;8;1;1;31;9;409
"410190 ASSAI";190;107;18;17;24;44;10;4;177;131;135;28;43;79;70;13;6;46;269;27;1438
"410200 ASSIS CHATEAUBRIAND";594;549;32;56;79;111;39;12;460;454;556;42;152;358;395;37;18;287;975;209;5415
"410210 ASTORGA";247;289;29;69;262;34;33;9;419;470;346;48;121;266;257;85;12;31;289;115;3431
"410220 ATALAIA";32;27;4;14;11;4;3;1;47;54;31;3;4;32;33;9;3;7;39;17;375
"410230 BALSA NOVA";44;134;12;15;18;57;12;5;209;142;161;15;49;106;191;25;11;59;174;63;1502
"410240 BANDEIRANTES";345;229;46;48;108;64;24;6;523;420;418;102;195;437;270;18;21;90;354;74;3792
"410250 BARBOSA FERRAZ";60;97;19;17;13;13;5;-;113;124;100;11;13;66;92;17;4;27;122;22;935
"410260 BARRACAO";99;167;4;17;3;14;2;2;118;192;121;32;50;83;136;11;5;20;95;20;1191
"410270 BARRA DO JACARE";36;28;7;4;3;8;2;-;44;34;28;3;23;33;15;2;-;4;29;6;309
"410275 BELA VISTA DA CAROBA";34;87;8;9;2;15;2;-;49;74;34;5;15;19;39;1;-;14;26;8;441
"410280 BELA VISTA DO PARAISO";121;106;1;28;29;32;15;2;213;152;134;40;28;136;149;30;7;29;140;29;1421
"410290 BITURUNA";63;52;29;31;53;33;6;4;221;267;135;38;89;220;252;24;20;82;204;73;1896
"410300 BOA ESPERANCA";22;72;3;7;-;3;1;-;52;51;52;8;6;32;58;13;-;6;61;9;456
"410302 BOA ESPERANCA DO IGUACU";15;23;-;1;6;4;5;-;33;42;36;7;27;17;26;-;1;9;37;3;292
