 Morbidade Hospitalar do SUS - por local de residência - Paraná
InternaçõesValor totalÓbitos por Município
Período:Dez/2025, Nov/2025, Out/2025, Set/2025, Ago/2025, Jul/2025, Jun/2025, Mai/2025, Abr/2025, Mar/2025, Fev/2025, Jan/2025
"Município";"Internações";"Valor_total";"Óbitos"
"410010 ABATIA";854;1847204,43;33
"410020 ADRIANOPOLIS";471;1567825,71;22
"410030 AGUDOS DO SUL";1175;3362028,92;38
"410040 ALMIRANTE TAMANDARE";9783;24543332,02;351
"410045 ALTAMIRA DO PARANA";369;643842,62;9
"410050 ALTONIA";1882;4245408,89;93
"410060 ALTO PARANA";1757;2760714,93;61
"410070 ALTO PIQUIRI";1057;2477553,80;47
"410080 ALVORADA DO SUL";1032;2080654,69;41
"410090 AMAPORA";646;1024973,72;16
"410100 AMPERE";2766;4492029,94;92
"410105 ANAHY";721;892602,50;8
"410110 ANDIRA";2382;4358618,34;75
"410115 ANGULO";430;892460,59;26
"410120 ANTONINA";1549;3635127,65;77
"410130 ANTONIO OLINTO";747;1114561,06;18
"410140 APUCARANA";12739;28508594,39;631
"410150 ARAPONGAS";12325;26843013,73;589
"410160 ARAPOTI";3361;5724765,79;101
"410165 ARAPUA";547;992588,14;19
"410170 ARARUNA";1519;2428373,78;67
"410180 ARAUCARIA";13253;31081020,06;490
"410185 ARIRANHA DO IVAI";424;672942,43;19
"410190 ASSAI";1533;3004325,77;86
"410200 ASSIS CHATEAUBRIAND";4831;7189252,43;220
"410210 ASTORGA";3428;5831210,87;137
"410220 ATALAIA";451;940665,03;15
"410230 BALSA NOVA";1660;5294630,87;81
"410240 BANDEIRANTES";3881;7910461,58;185
"410250 BARBOSA FERRAZ";968;1846982,25;55
"410260 BARRACAO";1311;1850404,00;38
"410270 BARRA DO JACARE";324;805590,23;9
"410275 BELA VISTA DA CAROBA";501;860532,10;17
"410280 BELA VISTA DO PARAISO";1530;3309499,54;72
"410290 BITURUNA";1915;3316259,08;51
"410300 BOA ESPERANCA";447;950221,49;18
"410302 BOA ESPERANCA DO IGUACU";341;630294,64;4
"410304 BOA VENTURA DE SAO ROQUE";782;1139342,08;15
"410305 BOA VISTA DA APARECIDA";1507;2104097,45;43
"410310 BOCAIUVA DO SUL";1456;2755911,17;38
"410315 BOM JESUS DO SUL";639;943843,32;20
