 Morbidade Hospitalar do SUS - por local de residência - Paraná
Internações por Município e Capítulo CID-10
Período:Jul/2026, Jun/2026, Mai/2026, Abr/2026, Mar/2026, Fev/2026, Jan/2026
"Município";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 21";"Total"
"410010 ABATIA";18;38;3;7;12;11;6;1;86;40;61;7;37;53;58;5;3;10;49;5;510
"410020 ADRIANOPOLIS";5;31;1;3;10;7;-;-;40;17;55;8;11;25;50;6;3;9;37;6;324
"410030 AGUDOS DO SUL";29;44;3;6;9;23;13;1;99;74;94;15;43;53;66;2;10;19;90;18;711
"410040 ALMIRANTE TAMANDARE";194;446;56;67;129;132;93;11;647;517;659;148;173;362;1067;110;44;136;659;272;5922
"410045 ALTAMIRA DO PARANA";2;42;2;-;6;2;-;-;46;9;27;2;13;11;14;2;-;7;22;6;213
"410050 ALTONIA";35;105;22;11;9;11;6;3;92;158;128;9;40;97;103;18;4;28;92;32;1003
"410060 ALTO PARANA";79;53;4;46;14;11;9;-;148;258;95;14;26;45;60;4;2;20;93;30;1011
"410070 ALTO PIQUIRI";7;33;3;5;11;18;4;3;54;27;62;11;12;62;46;6;2;28;64;8;466
"410080 ALVORADA DO SUL";29;66;4;11;9;24;5;-;81;48;51;13;20;52;42;13;3;22;66;16;575
"410090 AMAPORA";8;21;4;10;4;7;-;-;51;49;48;2;10;31;19;2;1;20;34;28;349
"410100 AMPERE";139;238;32;26;44;48;22;14;131;305;192;78;68;205;195;29;11;50;144;29;2000
"410105 ANAHY";30;33;3;5;1;10;12;-;30;49;40;5;10;16;16;5;-;9;30;21;325
"410110 ANDIRA";148;150;10;47;11;31;15;9;205;179;159;11;78;184;156;13;4;21;112;9;1552
"410115 ANGULO";16;16;3;2;9;3;6;-;34;21;20;6;9;17;27;5;-;6;22;4;226
