 Morbidade Hospitalar do SUS - por local de residência - Paraná
InternaçõesValor totalÓbitos por Município
Período:Jul/2026, Jun/2026, Mai/2026, Abr/2026, Mar/2026, Fev/2026, Jan/2026
"Município";"Internações";"Valor_total";"Óbitos"
"410010 ABATIA";510;1160229,14;10
"410020 ADRIANOPOLIS";324;859712,35;16
"410030 AGUDOS DO SUL";711;1960675,08;13
"410040 ALMIRANTE TAMANDARE";5922;15705888,90;211
"410045 ALTAMIRA DO PARANA";213;560300,65;9
"410050 ALTONIA";1003;2353993,71;48
"410060 ALTO PARANA";1011;1361955,96;24
"410070 ALTO PIQUIRI";466;1164094,10;17
"410080 ALVORADA DO SUL";575;1562203,06;24
"410090 AMAPORA";349;596472,38;11
"410100 AMPERE";2000;2479796,33;59
"410105 ANAHY";325;554057,40;10
"410110 ANDIRA";1552;3273982,42;54
"410115 ANGULO";226;488223,03;6
"410120 ANTONINA";835;1837296,80;45
"410130 ANTONIO OLINTO";438;982340,59;14
"410140 APUCARANA";7387;18869037,31;321
"410150 ARAPONGAS";8881;20955992,98;347
"410160 ARAPOTI";2236;3299125,82;55
"410165 ARAPUA";321;663886,79;10
"410170 ARARUNA";885;1463478,22;40
"410180 ARAUCARIA";7666;18428431,97;261
"410185 ARIRANHA DO IVAI";288;604182,14;15
"410190 ASSAI";691;1774144,31;45
"410200 ASSIS CHATEAUBRIAND";2705;4635859,60;133
"410210 ASTORGA";2140;3289476,59;75
"410220 ATALAIA";228;405456,07;12
"410230 BALSA NOVA";895;2726824,40;39
"410240 BANDEIRANTES";2178;5010989,01;87
"410250 BARBOSA FERRAZ";699;1193560,41;31
"410260 BARRACAO";886;1277095,03;21
"410270 BARRA DO JACARE";213;596220,94;5
"410275 BELA VISTA DA CAROBA";292;409750,10;12
"410280 BELA VISTA DO PARAISO";882;2089921,12;34
"410290 BITURUNA";1056;1936755,20;31
"410300 BOA ESPERANCA";216;415637,27;10
"410302 BOA ESPERANCA DO IGUACU";181;310439,83;8
"410304 BOA VENTURA DE SAO ROQUE";475;726232,90;17
"410305 BOA VISTA DA APARECIDA";810;1104032,64;18
"410310 BOCAIUVA DO SUL";993;2097422,87;29
"410315 BOM JESUS DO SUL";388;485932,13;7
"410320 BOM SUCESSO";389;842808,50;13
"410322 BOM SUCESSO DO SUL";225;346317,99;5
"410330 BORRAZOPOLIS";496;1270992,90;19
"410335 BRAGANEY";505;638846,75;13
"410337 BRASILANDIA DO SUL";182;431656,26;5
"410340 CAFEARA";155;239429,75;3
"410345 CAFELANDIA";1451;2243653,16;19
"410347 CAFEZAL DO SUL";241;559477,23;17
"410350 CALIFORNIA";592;1533350,31;22
"410360 CAMBARA";1248;3036024,18;63
"410370 CAMBE";6135;13355874,63;221
"410380 CAMBIRA";514;1287615,64;20
"410390 CAMPINA DA LAGOA";1630;2094742,54;24
"410395 CAMPINA DO SIMAO";315;620904,79;15
"410400 CAMPINA GRANDE DO SUL";4573;7844066,70;129
"410405 CAMPO BONITO";389;622777,26;9
"410410 CAMPO DO TENENTE";409;1035570,72;15
"410420 CAMPO LARGO";7225;21167030,64;292
"410425 CAMPO MAGRO";1383;4667930,17;53
"410430 CAMPO MOURAO";4477;9281101,95;236
"410440 CANDIDO DE ABREU";1049;2381475,19;26
"410442 CANDOI";1131;1911395,43;32
"410445 CANTAGALO";763;1375588,33;31
"410450 CAPANEMA";1655;2823911,98;25
"410460 CAPITAO LEONIDAS MARQUES";1766;2014082,66;44
"410465 CARAMBEI";1223;2057021,23;31
"410470 CARLOPOLIS";1930;3146774,52;42
"410480 CASCAVEL";17115;34459318,69;476
"410490 CASTRO";3338;6797367,49;159
"410500 CATANDUVAS";603;1404706,18;12
"410510 CENTENARIO DO SUL";740;2145348,69;20
"410520 CERRO AZUL";1041;1947000,92;24
"410530 CEU AZUL";883;1309813,32;45
"410540 CHOPINZINHO";1469;2602790,07;68
"410550 CIANORTE";3690;7801695,74;182
"410560 CIDADE GAUCHA";886;1148512,28;24
"410570 CLEVELANDIA";1247;1509221,33;35
"410580 COLOMBO";12928;29945581,70;481
"410590 COLORADO";1874;3606381,65;68
"410600 CONGONHINHAS";478;1397651,82;20
"410610 CONSELHEIRO MAIRINCK";309;753959,08;9
"410620 CONTENDA";948;2548777,67;36
"410630 CORBELIA";1341;1875134,51;32
"410640 CORNELIO PROCOPIO";3051;5921986,03;114
"410645 CORONEL DOMINGOS SOARES";557;767880,06;16
"410650 CORONEL VIVIDA";1593;2332427,15;58
"410655 CORUMBATAI DO SUL";261;712591,37;13
"410657 CRUZEIRO DO IGUACU";270;260592,87;10
"410660 CRUZEIRO DO OESTE";1019;2351247,41;47
"410670 CRUZEIRO DO SUL";149;265842,70;7
"410680 CRUZ MACHADO";779;1651868,82;34
"410685 CRUZMALTINA";206;669629,38;7
"410690 CURITIBA";82739;209256320,08;3547
"410700 CURIUVA";707;1771037,99;44
"410710 DIAMANTE DO NORTE";283;657385,47;13
"410712 DIAMANTE DO SUL";272;414375,42;14
"410715 DIAMANTE D'OESTE";243;509009,73;11
"410720 DOIS VIZINHOS";3394;4559129,80;83
"410725 DOURADINA";304;1137685,29;17
"410730 DOUTOR CAMARGO";308;789553,80;10
"410740 ENEAS MARQUES";460;980350,38;15
"410750 ENGENHEIRO BELTRAO";969;1358751,06;27
"410752 ESPERANCA NOVA";130;263437,16;3
"410753 ENTRE RIOS DO OESTE";249;354422,01;3
"410754 ESPIGAO ALTO DO IGUACU";490;808294,44;12
"410755 FAROL";155;467582,35;12
"410760 FAXINAL";1438;2529026,60;28
"410765 FAZENDA RIO GRANDE";7620;18550250,73;240
"410770 FENIX";321;593842,88;17
"410773 FERNANDES PINHEIRO";394;867458,20;20
"410775 FIGUEIRA";522;1028976,28;18
"410780 FLORAI";261;762530,89;15
"410785 FLOR DA SERRA DO SUL";482;710330,51;11
"410790 FLORESTA";807;1457790,28;15
"410800 FLORESTOPOLIS";718;1698530,87;33
"410810 FLORIDA";113;186016,84;4
"410820 FORMOSA DO OESTE";1084;1165087,46;26
"410830 FOZ DO IGUACU";15253;32054210,73;527
"410832 FRANCISCO ALVES";444;1174116,59;23
"410840 FRANCISCO BELTRAO";6520;11999389,58;182
"410845 FOZ DO JORDAO";370;636828,48;8
"410850 GENERAL CARNEIRO";694;1348929,89;25
"410855 GODOY MOREIRA";259;609292,16;8
"410860 GOIOERE";1622;3084310,75;73
"410865 GOIOXIM";364;846255,90;12
"410870 GRANDES RIOS";356;1090178,57;13
"410880 GUAIRA";2094;3653640,32;81
"410890 GUAIRACA";322;679430,42;10
"410895 GUAMIRANGA";423;1164394,76;23
"410900 GUAPIRAMA";380;772371,87;11
"410910 GUAPOREMA";133;178113,62;6
"410920 GUARACI";238;808547,24;15
"410930 GUARANIACU";1116;1830596,15;29
"410940 GUARAPUAVA";9421;19671654,07;397
"410950 GUARAQUECABA";428;924555,50;15
"410960 GUARATUBA";2203;5043135,00;66
"410965 HONORIO SERPA";289;377730,78;6
"410970 IBAITI";1480;3855850,43;76
"410975 IBEMA";476;796027,94;16
"410980 IBIPORA";4235;7391558,16;125
"410990 ICARAIMA";401;979453,01;14
"411000 IGUARACU";357;658006,40;6
"411005 IGUATU";186;236837,65;3
"411007 IMBAU";685;1409709,92;17
"411010 IMBITUVA";1408;3497109,50;48
"411020 INACIO MARTINS";515;1173614,53;17
"411030 INAJA";158;397962,13;9
"411040 INDIANOPOLIS";383;630597,64;9
"411050 IPIRANGA";812;1737512,88;19
"411060 IPORA";835;1656135,99;40
"411065 IRACEMA DO OESTE";259;367836,43;8
"411070 IRATI";2915;7248271,79;131
"411080 IRETAMA";479;1050485,11;23
"411090 ITAGUAJE";272;685794,77;10
"411095 ITAIPULANDIA";446;1681660,24;14
"411100 ITAMBARACA";516;1101267,48;15
"411110 ITAMBE";358;834030,80;10
"411120 ITAPEJARA D'OESTE";512;1045021,58;24
"411125 ITAPERUCU";2245;3877489,73;28
"411130 ITAUNA DO SUL";242;430454,19;12
"411140 IVAI";826;1658720,73;34
"411150 IVAIPORA";2149;5113058,21;105
"411155 IVATE";246;594502,13;18
"411160 IVATUBA";158;388723,43;5
"411170 JABOTI";361;819811,96;10
"411180 JACAREZINHO";2342;4551949,57;95
"411190 JAGUAPITA";966;1994108,09;34
"411200 JAGUARIAIVA";2203;3377713,72;80
"411210 JANDAIA DO SUL";1523;3387526,67;56
"411220 JANIOPOLIS";321;637673,09;12
"411230 JAPIRA";429;916362,56;15
"411240 JAPURA";625;844008,96;21
"411250 JARDIM ALEGRE";1158;2063296,51;30
"411260 JARDIM OLINDA";69;161355,38;3
"411270 JATAIZINHO";905;2180267,06;33
"411275 JESUITAS";830;1109327,72;20
"411280 JOAQUIM TAVORA";813;1687537,67;25
"411290 JUNDIAI DO SUL";270;467766,59;11
"411295 JURANDA";358;600970,35;9
"411300 JUSSARA";477;935855,75;20
"411310 KALORE";358;797636,77;7
"411320 LAPA";2863;6692914,19;118
"411325 LARANJAL";465;642853,59;16
"411330 LARANJEIRAS DO SUL";2701;4239748,43;86
"411340 LEOPOLIS";363;672143,48;12
"411342 LIDIANOPOLIS";372;728634,35;17
"411345 LINDOESTE";516;860284,28;12
"411350 LOANDA";1497;2677281,75;38
"411360 LOBATO";293;647116,78;12
"411370 LONDRINA";26686;64936904,84;1008
"411373 LUIZIANA";325;679238,14;17
"411375 LUNARDELLI";516;680852,85;16
"411380 LUPIONOPOLIS";258;679580,53;19
"411390 MALLET";907;1694296,66;39
"411400 MAMBORE";598;1616197,34;26
"411410 MANDAGUACU";1094;2076358,21;33
"411420 MANDAGUARI";2264;4448388,75;76
"411430 MANDIRITUBA";1406;3531817,50;40
"411435 MANFRINOPOLIS";155;360989,80;7
"411440 MANGUEIRINHA";980;1435007,72;36
"411450 MANOEL RIBAS";1145;2584434,46;38
"411460 MARECHAL CANDIDO RONDON";2241;4291713,96;78
"411470 MARIA HELENA";278;585242,85;13
"411480 MARIALVA";1887;4543723,07;71
"411490 MARILANDIA DO SUL";481;1200889,51;23
"411500 MARILENA";672;1146945,87;26
"411510 MARILUZ";471;1100353,80;18
"411520 MARINGA";17040;41114756,84;703
"411530 MARIOPOLIS";373;657265,88;17
"411535 MARIPA";302;695644,44;5
"411540 MARMELEIRO";1048;1889376,20;35
"411545 MARQUINHO";390;927199,32;14
"411550 MARUMBI";298;665074,19;11
"411560 MATELANDIA";1556;2267051,30;47
"411570 MATINHOS";1883;5086659,10;98
"411573 MATO RICO";229;540597,85;5
"411575 MAUA DA SERRA";444;1333899,68;15
"411580 MEDIANEIRA";3043;5277723,23;100
"411585 MERCEDES";332;589984,32;7
"411590 MIRADOR";245;537757,98;10
"411600 MIRASELVA";109;426576,78;8
"411605 MISSAL";1288;1803323,40;29
"411610 MOREIRA SALES";636;1381431,45;38
"411620 MORRETES";763;1933283,55;33
"411630 MUNHOZ DE MELO";283;683227,44;9
"411640 NOSSA SENHORA DAS GRACAS";301;696032,74;11
"411650 NOVA ALIANCA DO IVAI";83;190434,08;1
"411660 NOVA AMERICA DA COLINA";269;701142,79;10
"411670 NOVA AURORA";988;1605962,12;33
"411680 NOVA CANTU";459;600219,20;14
"411690 NOVA ESPERANCA";1271;2729958,21;46
"411695 NOVA ESPERANCA DO SUDOESTE";426;640497,09;12
"411700 NOVA FATIMA";655;1328706,47;25
"411705 NOVA LARANJEIRAS";972;1508037,35;23
"411710 NOVA LONDRINA";784;1402682,86;30
"411720 NOVA OLIMPIA";213;470504,68;13
"411721 NOVA SANTA BARBARA";280;629432,86;16
"411722 NOVA SANTA ROSA";530;821233,17;22
"411725 NOVA PRATA DO IGUACU";629;1262122,28;24
"411727 NOVA TEBAS";716;1435574,97;17
"411729 NOVO ITACOLOMI";124;449586,54;2
"411730 ORTIGUEIRA";1156;3154544,84;32
"411740 OURIZONA";193;588506,96;8
"411745 OURO VERDE DO OESTE";425;748336,19;8
"411750 PAICANDU";2679;5068495,92;83
"411760 PALMAS";2533;4029385,10;87
"411770 PALMEIRA";1981;3528525,78;85
"411780 PALMITAL";587;1231174,86;19
"411790 PALOTINA";2795;4703860,81;75
"411800 PARAISO DO NORTE";528;1186874,97;29
"411810 PARANACITY";613;1492365,91;22
"411820 PARANAGUA";5887;15283906,36;294
"411830 PARANAPOEMA";124;287110,32;8
"411840 PARANAVAI";4448;10098237,38;174
"411845 PATO BRAGADO";774;871374,70;17
"411850 PATO BRANCO";5533;8100507,29;234
"411860 PAULA FREITAS";539;879134,01;29
"411870 PAULO FRONTIN";368;770443,60;15
"411880 PEABIRU";713;1741380,94;43
"411885 PEROBAL";336;686302,60;15
"411890 PEROLA";681;1367310,46;23
"411900 PEROLA D'OESTE";489;804424,91;16
"411910 PIEN";1167;2039165,97;28
"411915 PINHAIS";7258;16588972,41;258
"411920 PINHALAO";353;802346,90;9
"411925 PINHAL DE SAO BENTO";282;364718,35;6
"411930 PINHAO";1329;2627114,41;57
"411940 PIRAI DO SUL";1338;2966412,98;42
"411950 PIRAQUARA";5599;11816468,25;172
"411960 PITANGA";3467;4643811,48;101
"411965 PITANGUEIRAS";247;526149,64;14
"411970 PLANALTINA DO PARANA";277;403134,73;11
"411980 PLANALTO";1285;1989624,17;20
"411990 PONTA GROSSA";18808;37618150,54;816
"411995 PONTAL DO PARANA";1686;5042606,14;64
"412000 PORECATU";666;1461241,86;24
"412010 PORTO AMAZONAS";292;795815,96;14
