 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2017
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
" MUNICIPIO IGNORADO - PR";3;-;-;1;3;1;-;-;4;3;-;-;-;-;1;-;14;55;85
"410010 ABATIA";4;13;-;3;3;4;-;21;9;4;-;-;1;-;1;1;8;8;80
"410020 ADRIANOPOLIS";1;10;-;6;-;3;-;11;11;1;-;-;-;-;-;1;-;5;49
"410030 AGUDOS DO SUL";4;15;-;3;-;1;-;19;9;8;-;-;1;-;1;-;1;7;69
"410040 ALMIRANTE TAMANDARE";28;100;1;43;16;24;-;160;66;32;3;1;20;-;11;6;6;86;603
"410045 ALTAMIRA DO PARANA";1;4;-;4;1;-;-;14;2;3;-;-;2;-;-;-;-;3;34
"410050 ALTONIA";13;18;-;11;3;7;-;52;30;13;-;1;1;-;2;2;8;22;183
"410060 ALTO PARANA";4;13;-;3;-;3;-;32;12;5;-;-;3;-;-;-;2;12;89
"410070 ALTO PIQUIRI";4;14;-;7;-;5;-;39;23;5;-;-;4;-;1;-;2;3;107
"410080 ALVORADA DO SUL";4;18;-;5;-;6;-;31;11;10;-;-;3;-;1;-;-;9;98
"410090 AMAPORA";1;5;-;5;1;-;-;13;3;3;-;-;2;-;-;-;2;5;40
"410100 AMPERE";6;14;-;2;2;2;-;34;22;5;-;-;1;-;-;1;6;13;108
"410105 ANAHY";-;3;-;1;1;-;-;5;2;-;-;-;-;-;-;-;-;1;13
"410110 ANDIRA";4;27;1;10;2;11;-;34;23;12;1;-;4;-;2;3;20;18;172
"410115 ANGULO";-;2;1;1;-;1;-;5;1;1;-;-;2;-;-;1;-;-;15
"410120 ANTONINA";3;17;-;5;-;1;-;31;23;8;-;-;7;-;3;2;24;11;135
"410130 ANTONIO OLINTO";1;11;-;1;1;2;-;15;10;3;-;-;-;-;-;-;1;7;52
"410140 APUCARANA";20;166;6;48;6;23;-;319;96;52;1;3;28;1;16;10;2;80;877
"410150 ARAPONGAS";27;159;9;38;10;36;-;218;113;43;1;3;27;-;7;8;17;80;796
"410160 ARAPOTI";2;37;2;5;1;5;-;45;18;6;-;-;2;-;3;1;4;20;151
"410165 ARAPUA";1;2;-;1;-;2;-;12;4;-;-;-;-;-;-;-;3;2;27
"410170 ARARUNA";1;20;-;4;1;1;-;40;14;5;-;-;4;-;1;-;3;8;102
"410180 ARAUCARIA";25;157;7;37;5;26;-;194;73;39;-;4;22;-;15;7;9;117;737
"410185 ARIRANHA DO IVAI";1;7;-;2;-;2;-;10;-;2;-;-;1;-;-;-;2;1;28
"410190 ASSAI";2;19;-;7;2;1;-;28;12;15;-;1;2;-;-;-;-;13;102
"410200 ASSIS CHATEAUBRIAND";6;44;3;23;5;9;-;108;24;17;2;1;3;-;-;3;3;30;281
"410210 ASTORGA";3;47;-;10;-;7;-;82;28;7;-;-;3;-;2;-;1;12;202
"410220 ATALAIA";-;4;-;-;-;4;-;8;5;-;-;-;-;-;-;1;-;1;23
"410230 BALSA NOVA";5;17;-;3;-;2;-;25;19;5;-;-;3;-;-;1;2;11;93
"410240 BANDEIRANTES";30;38;1;14;2;6;-;67;38;13;2;1;7;-;3;2;10;22;256
"410250 BARBOSA FERRAZ";4;18;-;5;-;4;-;20;10;6;-;1;1;-;2;-;-;13;84
"410260 BARRACAO";2;14;1;2;-;3;-;18;3;4;-;-;1;-;-;1;-;8;57
"410270 BARRA DO JACARE";-;5;-;2;-;3;-;8;5;-;-;-;-;-;1;1;1;-;26
"410275 BELA VISTA DA CAROBA";1;5;-;3;-;1;-;5;5;-;-;-;-;-;-;-;1;3;24
"410280 BELA VISTA DO PARAISO";2;29;-;8;2;4;-;39;21;4;-;-;2;1;2;1;2;22;139
"410290 BITURUNA";2;18;2;4;2;4;-;21;21;11;-;-;7;-;2;2;1;9;106
"410300 BOA ESPERANCA";-;9;-;4;-;1;-;10;4;1;-;-;3;-;1;-;1;4;38
"410302 BOA ESPERANCA DO IGUACU";-;3;-;1;-;-;-;3;4;-;-;-;-;-;-;-;-;-;11
"410304 BOA VENTURA DE SAO ROQUE";-;6;-;4;1;1;-;5;7;-;-;-;2;-;1;-;3;3;33
"410305 BOA VISTA DA APARECIDA";2;11;1;4;-;-;-;19;8;1;1;1;1;-;-;1;2;5;57
"410310 BOCAIUVA DO SUL";4;10;-;6;-;4;-;26;17;3;-;-;2;-;-;-;7;8;87
"410315 BOM JESUS DO SUL";2;2;-;4;-;-;-;12;4;3;-;-;2;-;1;-;-;6;36
"410320 BOM SUCESSO";-;16;-;4;1;1;-;17;8;1;-;-;3;-;-;-;-;10;61
"410322 BOM SUCESSO DO SUL";-;7;-;3;-;-;-;4;1;4;-;-;-;-;1;-;2;2;24
"410330 BORRAZOPOLIS";-;8;-;2;1;3;-;28;14;4;-;1;3;-;-;1;2;8;75
"410335 BRAGANEY";-;6;-;-;-;3;-;11;10;3;-;-;3;-;-;-;1;4;41
"410337 BRASILANDIA DO SUL";-;3;-;2;1;-;-;18;5;-;-;-;-;-;1;-;1;5;36
"410340 CAFEARA";-;7;-;1;1;-;-;4;2;1;-;2;1;-;1;-;-;1;21
"410345 CAFELANDIA";1;11;-;8;-;2;-;19;13;6;-;-;1;1;-;3;4;13;82
"410347 CAFEZAL DO SUL";3;4;-;2;-;1;-;13;2;1;-;-;2;-;1;-;2;1;32
"410350 CALIFORNIA";2;11;-;2;1;2;-;15;2;4;1;-;2;-;-;-;3;10;55
"410360 CAMBARA";5;37;1;14;-;4;-;54;20;16;-;1;8;1;1;1;14;15;192
"410370 CAMBE";14;130;2;26;4;25;-;183;136;39;2;1;26;-;8;11;5;80;692
"410380 CAMBIRA";2;8;-;3;-;1;-;22;10;2;1;-;5;-;3;-;-;7;64
"410390 CAMPINA DA LAGOA";3;25;-;14;-;-;-;52;21;2;1;-;4;1;3;-;1;20;147
"410395 CAMPINA DO SIMAO";-;4;-;2;-;-;-;4;5;3;-;-;-;-;-;-;-;2;20
"410400 CAMPINA GRANDE DO SUL";23;37;1;7;-;10;-;77;32;14;-;1;4;1;7;2;4;28;248
"410405 CAMPO BONITO";-;6;-;1;-;1;-;5;7;3;-;-;-;-;-;-;-;7;30
"410410 CAMPO DO TENENTE";-;7;-;2;-;-;-;17;5;5;-;1;3;-;1;-;2;6;49
"410420 CAMPO LARGO";31;127;2;25;4;16;-;188;100;23;2;2;29;1;9;8;8;88;663
"410425 CAMPO MAGRO";2;31;-;3;2;3;-;34;19;7;-;1;4;-;2;2;1;31;142
"410430 CAMPO MOURAO";17;123;3;40;4;24;-;184;110;39;1;2;21;-;5;12;1;94;680
"410440 CANDIDO DE ABREU";7;31;-;3;1;2;-;46;16;5;1;-;4;-;-;-;10;14;140
"410442 CANDOI";4;24;-;5;-;4;-;31;10;5;-;-;1;-;1;1;1;12;99
"410445 CANTAGALO";1;19;-;2;-;4;-;31;9;4;-;-;-;-;2;-;1;15;88
