 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2020
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
" MUNICIPIO IGNORADO - PR";3;-;-;-;2;-;-;-;4;-;-;-;-;1;-;-;-;21;55;86
"410010 ABATIA";7;11;-;4;1;3;-;-;24;9;6;1;-;3;-;-;-;2;2;73
"410020 ADRIANOPOLIS";9;13;1;6;1;1;-;-;22;6;5;-;-;1;-;-;-;2;3;70
"410030 AGUDOS DO SUL";2;12;-;6;1;1;-;-;21;7;3;1;-;2;-;-;-;5;11;72
"410040 ALMIRANTE TAMANDARE";135;133;2;36;20;20;-;-;195;49;40;2;2;11;1;7;3;22;95;773
"410045 ALTAMIRA DO PARANA";3;3;-;3;1;2;-;-;14;1;3;-;-;1;-;-;1;-;3;35
"410050 ALTONIA";9;32;-;6;4;10;-;1;76;16;13;-;1;10;1;1;-;2;28;210
"410060 ALTO PARANA";7;21;-;12;8;3;-;-;58;12;6;-;-;3;1;2;-;-;14;147
"410070 ALTO PIQUIRI";9;12;-;7;-;3;-;-;35;12;7;-;-;2;-;1;-;6;8;102
"410080 ALVORADA DO SUL";13;19;-;6;2;5;-;-;25;14;7;-;-;4;-;-;-;1;11;107
"410090 AMAPORA";2;9;1;4;1;1;-;-;18;-;3;-;-;-;-;-;-;-;3;42
"410100 AMPERE";9;18;-;6;2;3;-;-;44;19;8;1;-;3;-;-;1;1;14;129
"410105 ANAHY";1;2;-;1;-;1;-;-;8;2;1;-;-;-;-;-;1;1;2;20
"410110 ANDIRA";10;26;-;6;4;10;-;-;52;12;8;1;-;5;-;2;1;17;9;163
"410115 ANGULO";2;1;-;1;-;-;-;-;6;5;4;-;-;1;-;-;-;-;2;22
"410120 ANTONINA";40;20;2;13;2;5;-;-;43;11;8;1;-;4;-;-;-;16;10;175
"410130 ANTONIO OLINTO";2;9;-;2;-;1;-;-;20;5;7;1;-;2;-;-;-;-;5;54
"410140 APUCARANA";115;167;2;54;14;49;-;-;269;97;61;8;1;25;1;14;2;3;76;958
"410150 ARAPONGAS";153;139;1;61;14;44;-;-;229;83;41;4;3;27;2;4;8;7;83;903
"410160 ARAPOTI";16;31;2;15;3;5;-;-;50;18;7;-;1;6;-;2;1;10;21;188
"410165 ARAPUA";1;12;-;1;-;1;-;-;10;5;1;-;-;1;-;-;-;-;3;35
"410170 ARARUNA";11;26;2;5;-;4;-;-;36;17;10;-;-;1;-;-;-;-;8;120
"410180 ARAUCARIA";147;162;1;41;18;47;-;-;163;67;46;3;3;35;1;11;4;23;117;889
"410185 ARIRANHA DO IVAI";3;3;-;2;-;1;-;-;5;-;1;-;-;-;-;-;-;1;2;18
"410190 ASSAI";24;25;-;9;1;5;-;-;40;14;1;4;1;3;1;1;-;2;11;142
"410200 ASSIS CHATEAUBRIAND";20;63;1;34;7;7;-;-;97;29;18;4;2;8;-;1;3;10;30;334
"410210 ASTORGA";21;38;-;13;2;5;-;-;45;29;10;2;1;5;1;4;2;-;15;193
"410220 ATALAIA";4;4;-;1;1;1;-;-;9;2;3;-;-;2;-;-;1;-;2;30
"410230 BALSA NOVA";12;15;-;3;2;1;-;-;22;8;4;2;1;4;-;-;2;14;9;99
"410240 BANDEIRANTES";53;45;-;16;5;12;-;-;67;33;25;1;1;5;-;2;1;6;27;299
"410250 BARBOSA FERRAZ";12;21;-;10;-;7;-;-;33;13;8;-;-;7;-;-;1;3;9;124
"410260 BARRACAO";6;13;1;5;1;2;-;-;14;13;1;-;1;-;-;-;-;2;8;67
"410270 BARRA DO JACARE";-;2;-;-;-;1;-;-;3;1;-;-;-;2;-;-;-;4;1;14
"410275 BELA VISTA DA CAROBA";1;3;-;1;-;1;-;-;6;5;1;-;-;1;-;1;1;-;2;23
"410280 BELA VISTA DO PARAISO";23;23;-;8;-;4;-;-;30;17;7;1;3;4;-;3;-;1;14;138
"410290 BITURUNA";3;24;-;6;2;2;-;-;20;19;3;-;1;-;-;-;2;1;11;94
"410300 BOA ESPERANCA";4;5;1;1;-;1;-;-;8;2;3;-;-;3;-;-;-;-;9;37
"410302 BOA ESPERANCA DO IGUACU";1;4;-;2;-;-;-;-;4;-;1;-;-;-;-;-;-;-;3;15
"410304 BOA VENTURA DE SAO ROQUE";1;5;1;1;-;-;-;-;10;1;3;-;-;1;1;1;1;-;9;35
"410305 BOA VISTA DA APARECIDA";7;13;-;6;-;4;-;-;19;8;6;-;-;3;-;-;-;-;9;75
"410310 BOCAIUVA DO SUL";6;28;-;4;-;2;-;-;23;9;4;-;1;2;-;3;-;5;15;102
"410315 BOM JESUS DO SUL";2;10;-;1;-;-;-;-;4;4;1;-;-;-;-;-;-;1;8;31
"410320 BOM SUCESSO";2;9;1;7;-;1;-;-;11;6;7;1;-;3;-;-;-;-;5;53
"410322 BOM SUCESSO DO SUL";3;4;-;-;-;2;-;-;5;2;5;-;-;2;-;-;-;-;1;24
"410330 BORRAZOPOLIS";8;14;-;3;-;-;-;-;23;6;9;-;-;1;-;1;-;-;4;69
"410335 BRAGANEY";2;7;-;2;2;3;-;-;16;1;4;-;-;1;-;-;-;-;12;50
"410337 BRASILANDIA DO SUL";1;2;-;2;-;1;-;-;12;4;1;-;-;1;-;1;-;1;3;29
"410340 CAFEARA";3;1;-;1;-;1;-;-;8;1;-;-;-;1;-;-;-;-;2;18
"410345 CAFELANDIA";8;26;-;7;-;3;-;-;23;7;6;-;-;-;-;-;2;1;15;98
"410347 CAFEZAL DO SUL";3;4;-;3;-;2;-;-;13;4;1;-;-;1;-;-;1;3;3;38
"410350 CALIFORNIA";8;10;-;5;1;-;-;-;22;6;6;-;1;2;-;2;1;4;6;74
