Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2015
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"410010 Abatiá";7823;472,95;22,03;193,25
"410020 Adrianópolis";6333;906,61;19,79;271,98
"410030 Agudos do Sul";8983;554,79;27,55;223,10
"410040 Almirante Tamandaré";112870;179,33;19,28;46,52
"410045 Altamira do Paraná";3341;1182,08;17,71;702,91
"412862 Alto Paraíso";3077;1783,30;21,97;414,59
"410060 Alto Paraná";14518;581,14;28,02;137,86
"410070 Alto Piquiri";10285;736,56;34,05;160,63
"410050 Altônia";21744;649,85;26,77;266,19
"410080 Alvorada do Sul";11057;719,32;26,43;215,87
"410090 Amaporã";5953;900,44;28,78;332,09
"410100 Ampére";18591;561,50;25,46;148,27
"410105 Anahy";2915;1145,30;20,40;448,02
"410110 Andirá";20876;543,69;25,72;94,12
"410115 Ângulo";2964;1139,91;20,91;356,81
"410120 Antonina";19416;659,66;24,67;218,50
"410130 Antônio Olinto";7578;720,47;28,52;194,07
"410140 Apucarana";130430;659,73;18,26;452,35
"410150 Arapongas";115412;443,69;24,03;129,11
"410160 Arapoti";27547;709,10;23,90;146,64
"410165 Arapuã";3426;1154,78;25,59;470,26
"410170 Araruna";14014;688,99;28,64;134,96
"410180 Araucária";133428;1183,92;21,26;317,77
"410185 Ariranha do Ivaí";2359;1332,05;24,26;406,62
"410190 Assaí";16212;659,29;21,67;271,37
"410200 Assis Chateaubriand";34027;489,55;20,92;72,72
"410210 Astorga";25976;429,24;18,13;161,09
"410220 Atalaia";4004;891,69;23,08;274,08
"410230 Balsa Nova";12337;814,05;22,72;117,70
"410240 Bandeirantes";32639;378,28;21,87;92,49
"410250 Barbosa Ferraz";12487;665,02;23,77;298,49
"410270 Barra do Jacaré";2821;870,33;15,13;186,37
"410260 Barracão";10231;751,82;27,15;289,39
"410275 Bela Vista da Caroba";3848;979,01;20,86;411,39
"410280 Bela Vista do Paraíso";15612;647,91;25,42;272,24
"410290 Bituruna";16480;660,51;28,26;227,68
"410300 Boa Esperança";4478;844,27;17,35;336,30
"410302 Boa Esperança do Iguaçu";2716;1086,96;17,05;386,68
"410304 Boa Ventura de São Roque";6683;612,26;17,80;327,76
"410305 Boa Vista da Aparecida";7968;788,56;25,04;344,74
"410310 Bocaiúva do Sul";12159;529,29;29,14;155,83
"410315 Bom Jesus do Sul";3777;882,16;19,13;407,90
"410320 Bom Sucesso";6944;707,25;19,38;336,48
"410322 Bom Sucesso do Sul";3365;987,08;17,98;318,03
